Date,Adj Close,Close,High,Low,Open,Volume
2009-01-02,20.600000381469727,20.600000381469727,20.600000381469727,20.299999237060547,0.0,350
2009-01-05,20.655000686645508,20.655000686645508,20.950000762939453,20.5,0.0,13160
2009-01-06,20.200000762939453,20.200000762939453,20.700000762939453,20.125,0.0,2410
2009-01-07,19.100000381469727,19.100000381469727,20.104999542236328,19.094999313354492,0.0,8900
2009-01-09,18.799999237060547,18.799999237060547,19.200000762939453,18.75,0.0,4220
2009-01-12,18.100000381469727,18.100000381469727,18.899999618530273,17.75,0.0,9040
2009-01-13,18.200000762939453,18.200000762939453,18.299999237060547,17.75,0.0,4250
2009-01-14,18.600000381469727,18.600000381469727,18.600000381469727,18.5,0.0,730
2009-01-15,18.0,18.0,18.0,17.860000610351562,0.0,700
2009-01-16,18.0,18.0,18.0,18.0,0.0,1180
2009-01-19,18.0,18.0,18.010000228881836,18.0,0.0,1560
2009-01-20,17.5,17.5,17.600000381469727,17.5,0.0,3500
2009-01-21,17.25,17.25,17.350000381469727,17.149999618530273,0.0,2600
2009-01-22,17.049999237060547,17.049999237060547,17.299999237060547,17.049999237060547,0.0,7510
2009-01-23,16.399999618530273,16.399999618530273,17.100000381469727,16.399999618530273,0.0,31320
2009-01-27,16.700000762939453,16.700000762939453,17.200000762939453,16.350000381469727,0.0,2550
2009-01-28,16.850000381469727,16.850000381469727,16.899999618530273,16.790000915527344,0.0,750
2009-01-29,16.915000915527344,16.915000915527344,17.200000762939453,16.915000915527344,0.0,1440
2009-01-30,17.5,17.5,17.5,16.700000762939453,0.0,10850
2009-02-02,17.014999389648438,17.014999389648438,17.299999237060547,17.0,0.0,4690
2009-02-03,17.0,17.0,17.0,16.700000762939453,0.0,5310
2009-02-04,16.729999542236328,16.729999542236328,17.100000381469727,16.700000762939453,0.0,104120
2009-02-05,16.700000762939453,16.700000762939453,16.899999618530273,16.700000762939453,0.0,390
2009-02-06,17.0,17.0,17.0,16.9950008392334,0.0,20550
2009-02-09,17.399999618530273,17.399999618530273,17.399999618530273,17.200000762939453,0.0,8270
2009-02-10,17.600000381469727,17.600000381469727,18.100000381469727,17.5,0.0,11150
2009-02-11,17.399999618530273,17.399999618530273,17.399999618530273,17.010000228881836,0.0,34410
2009-02-12,17.30500030517578,17.30500030517578,17.399999618530273,17.100000381469727,0.0,250
2009-02-13,17.30500030517578,17.30500030517578,17.30500030517578,17.30500030517578,0.0,0
2009-02-16,17.399999618530273,17.399999618530273,17.399999618530273,17.399999618530273,0.0,100
2009-02-17,16.399999618530273,16.399999618530273,16.700000762939453,16.399999618530273,0.0,1330
2009-02-18,16.299999237060547,16.299999237060547,16.299999237060547,16.0,0.0,10250
2009-02-19,16.100000381469727,16.100000381469727,16.200000762939453,16.100000381469727,0.0,2750
2009-02-20,15.800000190734863,15.800000190734863,15.800000190734863,15.800000190734863,0.0,6180
2009-02-24,15.319999694824219,15.319999694824219,15.494999885559082,15.0,0.0,28490
2009-02-25,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0.0,700
2009-02-26,14.800000190734863,14.800000190734863,15.449999809265137,14.800000190734863,0.0,9070
2009-02-27,15.0,15.0,15.199999809265137,15.0,0.0,1000
2009-03-02,14.899999618530273,14.899999618530273,15.0,14.899999618530273,0.0,2760
2009-03-03,14.710000038146973,14.710000038146973,14.899999618530273,14.710000038146973,0.0,4150
2009-03-04,14.399999618530273,14.399999618530273,14.699999809265137,14.399999618530273,0.0,13020
2009-03-05,13.899999618530273,13.899999618530273,17.18000030517578,13.899999618530273,0.0,16400
2009-03-06,14.005000114440918,14.005000114440918,14.300000190734863,13.800000190734863,0.0,5100
2009-03-09,13.5,13.5,13.899999618530273,13.5,0.0,2050
2009-03-12,13.770000457763672,13.770000457763672,13.770000457763672,13.399999618530273,0.0,14840
2009-03-13,14.100000381469727,14.100000381469727,14.100000381469727,13.800000190734863,0.0,5920
2009-03-16,14.229999542236328,14.229999542236328,14.399999618530273,14.229999542236328,0.0,260
2009-03-17,14.300000190734863,14.300000190734863,14.75,14.300000190734863,0.0,3400
2009-03-18,14.199999809265137,14.199999809265137,14.199999809265137,14.100000381469727,0.0,140
2009-03-19,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,0.0,200
2009-03-20,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,0.0,0
2009-03-23,14.699999809265137,14.699999809265137,14.699999809265137,14.300000190734863,0.0,10300
2009-03-24,15.0,15.0,15.600000381469727,14.899999618530273,0.0,11350
2009-03-25,15.0,15.0,15.0,15.0,0.0,0
2009-03-26,15.800000190734863,15.800000190734863,16.0,15.600000381469727,0.0,18230
2009-03-27,16.5,16.5,16.5,15.899999618530273,0.0,20260
2009-03-30,15.3100004196167,15.3100004196167,16.100000381469727,15.300000190734863,0.0,11700
