Date,Adj Close,Close,High,Low,Open,Volume
2022-01-24,112.6698989868164,112.6698989868164,112.6698989868164,112.6698989868164,112.6698989868164,0
2022-01-25,115.26599884033203,115.26599884033203,115.26599884033203,115.26599884033203,115.26599884033203,0
2022-01-27,115.65059661865234,115.65059661865234,115.65059661865234,115.65059661865234,115.65059661865234,0
2022-01-28,114.97319793701172,114.97319793701172,114.97319793701172,114.97319793701172,114.97319793701172,0
2022-01-31,117.05819702148438,117.05819702148438,117.05819702148438,117.05819702148438,117.05819702148438,0
2022-02-01,116.19029998779297,116.19029998779297,116.19029998779297,116.19029998779297,116.19029998779297,0
2022-02-02,116.35150146484375,116.35150146484375,116.35150146484375,116.35150146484375,116.35150146484375,0
2022-02-03,116.8572998046875,116.8572998046875,116.8572998046875,116.8572998046875,116.8572998046875,0
2022-02-04,115.63760375976562,115.63760375976562,115.63760375976562,115.63760375976562,115.63760375976562,0
2022-02-07,114.13300323486328,114.13300323486328,114.13300323486328,114.13300323486328,114.13300323486328,0
2022-02-08,114.35590362548828,114.35590362548828,114.35590362548828,114.35590362548828,114.35590362548828,0
2022-02-09,116.8406982421875,116.8406982421875,116.8406982421875,116.8406982421875,116.8406982421875,0
2022-02-10,116.77970123291016,116.77970123291016,116.77970123291016,116.77970123291016,116.77970123291016,0
2022-02-11,115.57659912109375,115.57659912109375,115.57659912109375,115.57659912109375,115.57659912109375,0
2022-02-14,111.15039825439453,111.15039825439453,111.15039825439453,111.15039825439453,111.15039825439453,0
2022-02-15,115.56900024414062,115.56900024414062,115.56900024414062,115.56900024414062,115.56900024414062,0
2022-02-16,115.14569854736328,115.14569854736328,115.14569854736328,115.14569854736328,115.14569854736328,0
2022-02-17,114.98249816894531,114.98249816894531,114.98249816894531,114.98249816894531,114.98249816894531,0
2022-02-18,114.26300048828125,114.26300048828125,114.26300048828125,114.26300048828125,114.26300048828125,0
2022-02-21,113.87210083007812,113.87210083007812,113.87210083007812,113.87210083007812,113.87210083007812,0
2022-02-22,113.68699645996094,113.68699645996094,113.68699645996094,113.68699645996094,113.68699645996094,0
2022-02-23,113.4448013305664,113.4448013305664,113.4448013305664,113.4448013305664,113.4448013305664,0
2022-02-24,106.40579986572266,106.40579986572266,106.40579986572266,106.40579986572266,106.40579986572266,0
2022-02-25,109.23989868164062,109.23989868164062,109.23989868164062,109.23989868164062,109.23989868164062,0
2022-02-28,108.49639892578125,108.49639892578125,108.49639892578125,108.49639892578125,108.49639892578125,0
2022-03-02,105.29879760742188,105.29879760742188,105.29879760742188,105.29879760742188,105.29879760742188,0
2022-03-03,102.908203125,102.908203125,102.908203125,102.908203125,102.908203125,0
2022-03-04,99.26809692382812,99.26809692382812,99.26809692382812,99.26809692382812,99.26809692382812,0
2022-03-07,95.11070251464844,95.11070251464844,95.11070251464844,95.11070251464844,95.11070251464844,0
2022-03-08,95.90470123291016,95.90470123291016,95.90470123291016,95.90470123291016,95.90470123291016,0
