Date,Adj Close,Close,High,Low,Open,Volume
2024-03-18,83.70210266113281,83.70210266113281,83.70210266113281,83.70210266113281,83.70210266113281,0
2024-03-19,83.70210266113281,83.70210266113281,83.70210266113281,83.70210266113281,83.70210266113281,0
2024-03-20,83.70210266113281,83.70210266113281,83.70210266113281,83.70210266113281,83.70210266113281,0
2024-03-21,85.99759674072266,85.99759674072266,85.99759674072266,85.99759674072266,85.99759674072266,0
2024-03-22,87.50309753417969,87.50309753417969,87.50309753417969,87.50309753417969,87.50309753417969,0
2024-03-26,89.31999969482422,89.31999969482422,90.1500015258789,87.30000305175781,89.4800033569336,48740
2024-03-27,90.05999755859375,90.05999755859375,92.19999694824219,89.75,90.87000274658203,49742
2024-03-28,90.87000274658203,90.87000274658203,91.86000061035156,89.0,91.86000061035156,47037
2024-04-01,94.20999908447266,94.20999908447266,94.98999786376953,91.2300033569336,91.48999786376953,93267
2024-04-02,95.30999755859375,95.30999755859375,96.0,94.11000061035156,94.25,93156
2024-04-03,92.87000274658203,92.87000274658203,97.0,92.76000213623047,97.0,283145
2024-04-04,92.72000122070312,92.72000122070312,93.97000122070312,92.19999694824219,93.97000122070312,93681
2024-04-05,94.08999633789062,94.08999633789062,94.33999633789062,92.98999786376953,93.70999908447266,82733
2024-04-08,95.22000122070312,95.22000122070312,96.19999694824219,94.58000183105469,94.80000305175781,95496
2024-04-09,96.08999633789062,96.08999633789062,97.0,95.4000015258789,96.19000244140625,86226
2024-04-10,96.4800033569336,96.4800033569336,96.8499984741211,96.1500015258789,96.26000213623047,64628
2024-04-12,96.11000061035156,96.11000061035156,97.01000213623047,95.61000061035156,96.98999786376953,90571
2024-04-15,94.37000274658203,94.37000274658203,95.98999786376953,92.0,95.98999786376953,76400
2024-04-16,94.04000091552734,94.04000091552734,94.9000015258789,93.33000183105469,94.9000015258789,43022
2024-04-18,93.58999633789062,93.58999633789062,95.30000305175781,93.12000274658203,94.98999786376953,43089
2024-04-19,92.91999816894531,92.91999816894531,93.2300033569336,91.01000213623047,93.2300033569336,48413
2024-04-22,93.54000091552734,93.54000091552734,94.13999938964844,93.4000015258789,93.48999786376953,15958
